iter	Passed	Remaining
0	152	152089
1	154	77107
2	157	52210
3	159	39724
4	161	32180
5	164	27198
6	166	23568
7	168	20834
8	170	18730
9	172	17040
10	173	15637
11	175	14489
12	178	13519
13	179	12670
14	181	11948
15	183	11279
16	184	10694
17	186	10169
18	187	9682
19	188	9252
20	190	8861
21	191	8501
22	192	8170
23	193	7866
24	194	7584
25	195	7317
26	196	7070
27	196	6837
28	197	6624
29	198	6422
30	199	6230
31	199	6048
32	200	5878
33	201	5718
34	201	5565
35	202	5424
36	203	5290
37	203	5161
38	204	5039
39	205	4923
40	205	4813
41	206	4708
42	207	4608
43	207	4513
44	208	4421
45	208	4333
46	209	4250
47	210	4170
48	210	4093
49	211	4019
50	212	3948
51	212	3880
52	213	3814
53	214	3750
54	214	3689
55	215	3632
56	216	3576
57	216	3522
58	217	3470
59	218	3419
60	218	3370
61	219	3323
62	220	3277
63	220	3231
64	221	3188
65	222	3146
66	223	3105
67	223	3067
68	224	3029
69	225	2992
70	225	2956
71	226	2920
72	227	2885
73	227	2851
74	228	2819
75	229	2787
76	229	2756
77	230	2726
78	231	2697
79	232	2668
80	232	2640
81	233	2613
82	233	2582
83	234	2556
84	235	2530
85	235	2504
86	236	2479
87	236	2455
88	237	2431
89	238	2409
90	238	2386
91	239	2364
92	240	2342
93	240	2322
94	241	2301
95	242	2281
96	242	2262
97	243	2242
98	244	2224
99	245	2205
100	245	2188
101	246	2171
102	247	2155
103	248	2137
104	248	2119
105	249	2103
106	250	2086
107	250	2070
108	251	2054
109	251	2038
110	252	2022
111	253	2007
112	253	1992
113	254	1977
114	255	1963
115	255	1949
116	256	1934
117	256	1920
118	257	1906
119	258	1893
120	258	1880
121	259	1866
122	260	1854
123	260	1841
124	261	1829
125	262	1817
126	262	1804
127	263	1792
128	263	1781
129	264	1769
130	265	1758
131	265	1747
132	266	1736
133	267	1725
134	267	1715
135	268	1704
136	268	1693
137	269	1683
138	270	1673
139	270	1663
140	271	1654
141	272	1643
142	272	1634
143	273	1624
144	273	1615
145	274	1606
146	275	1597
147	275	1588
148	276	1579
149	277	1570
150	277	1561
151	278	1553
152	279	1545
153	279	1537
154	280	1529
155	281	1521
156	281	1513
157	282	1505
158	283	1497
159	283	1490
160	284	1481
161	284	1473
162	285	1466
163	286	1458
164	286	1451
165	287	1444
166	288	1436
167	288	1429
168	289	1422
169	289	1415
170	290	1408
171	291	1401
172	291	1395
173	292	1389
174	293	1382
175	293	1376
176	294	1369
177	295	1363
178	295	1356
179	296	1350
180	297	1344
181	297	1338
182	298	1332
183	299	1326
184	299	1320
185	300	1314
186	300	1308
187	301	1302
188	302	1297
189	302	1291
190	303	1285
191	304	1280
192	304	1274
193	305	1269
194	306	1265
195	307	1261
196	308	1256
197	309	1251
198	309	1247
199	310	1242
200	311	1237
201	311	1232
202	312	1227
203	313	1222
