iter	Passed	Remaining
0	115	115764
1	117	58670
2	119	39629
3	120	30058
4	122	24327
5	123	20520
6	128	18181
7	129	16081
8	131	14435
9	132	13133
10	134	12091
11	137	11311
12	139	10569
13	141	9961
14	144	9456
15	145	8970
16	148	8560
17	149	8170
18	151	7821
19	153	7513
20	155	7230
21	156	6972
22	158	6734
23	160	6509
24	161	6315
25	163	6124
26	165	5958
27	167	5799
28	168	5649
29	169	5496
30	171	5350
31	172	5218
32	173	5091
33	175	4981
34	176	4869
35	177	4765
36	179	4670
37	180	4576
38	182	4489
39	183	4408
40	185	4350
41	188	4306
42	191	4264
43	193	4209
44	195	4154
45	197	4093
46	199	4040
47	201	3991
48	202	3938
49	205	3906
50	207	3857
51	209	3812
52	211	3783
53	213	3740
54	215	3698
55	217	3658
56	222	3682
57	224	3641
58	227	3631
59	229	3593
60	231	3556
61	232	3523
62	237	3533
63	239	3497
64	240	3457
65	241	3419
66	243	3385
67	245	3360
68	246	3327
69	248	3299
70	255	3338
71	257	3312
72	259	3293
73	261	3266
74	262	3243
75	264	3213
76	265	3185
77	266	3155
78	268	3126
79	269	3096
80	271	3078
81	273	3057
82	273	3025
83	276	3011
84	278	2995
85	279	2975
86	284	2990
87	287	2982
88	289	2965
89	294	2973
90	295	2950
91	296	2931
92	299	2917
93	301	2902
94	302	2883
95	304	2868
96	305	2848
97	307	2827
98	308	2806
99	309	2786
100	312	2780
101	314	2765
102	315	2748
103	317	2731
104	318	2715
105	320	2705
106	322	2688
107	324	2680
108	326	2666
109	327	2652
110	331	2657
111	333	2642
112	334	2628
113	336	2613
114	337	2600
115	339	2584
116	340	2566
117	341	2551
118	342	2537
119	343	2522
120	345	2513
121	347	2498
122	348	2484
123	350	2473
124	351	2459
125	352	2447
126	354	2434
127	355	2421
128	356	2408
129	357	2395
130	359	2384
131	360	2372
132	362	2365
133	364	2354
134	365	2341
135	367	2332
136	368	2321
137	370	2312
138	371	2303
139	373	2292
140	375	2285
141	376	2275
142	379	2276
143	381	2267
144	382	2258
145	384	2247
146	385	2236
147	386	2226
148	388	2217
149	389	2208
150	391	2199
151	392	2189
152	393	2179
153	395	2171
154	396	2162
155	398	2154
156	399	2145
157	400	2135
158	402	2130
159	404	2122
160	404	2110
161	406	2101
162	408	2095
163	409	2087
164	410	2079
165	412	2071
166	413	2062
167	415	2056
168	416	2049
169	418	2042
170	420	2038
171	423	2036
172	426	2036
173	428	2034
174	430	2030
175	432	2026
176	434	2020
177	435	2013
178	437	2004
179	438	1996
180	439	1988
181	440	1981
182	442	1973
183	443	1966
184	444	1959
185	446	1952
186	447	1946
187	449	1939
188	451	1938
189	455	1942
190	458	1940
191	461	1941
192	463	1938
193	465	1934
194	469	1939
195	471	1935
196	473	1930
197	475	1925
198	476	1919
199	478	1913
200	479	1907
201	481	1901
202	482	1896
203	486	1897
204	488	1893
205	491	1895
206	494	1894
207	497	1893
208	499	1891
209	501	1885
210	503	1884
211	505	1880
212	507	1876
213	509	1870
214	510	1864
215	512	1858
216	515	1860
217	517	1854
218	518	1850
219	520	1844
220	521	1839
221	523	1833
222	524	1828
223	526	1824
224	530	1828
225	532	1825
226	534	1819
227	535	1813
228	536	1807
229	538	1801
230	539	1795
231	541	1791
232	542	1786
233	544	1782
234	546	1777
235	548	1775
236	549	1769
237	551	1765
238	552	1759
239	554	1754
240	556	1752
241	558	1747
242	559	1742
243	560	1737
244	562	1732
245	563	1727
246	565	1724
247	567	1719
248	568	1715
249	570	1711
250	571	1706
251	573	1701
252	574	1697
253	576	1693
254	580	1696
255	581	1691
256	583	1687
257	585	1683
258	586	1678
259	588	1674
260	590	1671
261	592	1670
262	594	1665
263	595	1661
264	597	1656
265	598	1651
266	599	1647
267	601	1642
268	603	1639
269	604	1634
270	605	1629
